measure_name,location_id,location_name,sex_id,sex_name,age_group_id,age_group_name,year_id,val,upper,lower
Age-Standardized Smoking Prevalence,1,Global,1,Male,29,15+ years,2003,0.385795955,0.388075984,0.383428214
Age-Standardized Smoking Prevalence,1,Global,2,Female,29,15+ years,2003,0.09073968,0.092304755,0.089320763
Age-Standardized Smoking Prevalence,1,Global,3,Both,29,15+ years,2003,0.237778954,0.239171199,0.236261941
Age-Standardized Smoking Prevalence,1,Global,1,Male,29,15+ years,2004,0.381525041,0.383709066,0.37918599
Age-Standardized Smoking Prevalence,1,Global,2,Female,29,15+ years,2004,0.089338697,0.090846381,0.087910526
Age-Standardized Smoking Prevalence,1,Global,3,Both,29,15+ years,2004,0.234909197,0.236239897,0.233475845
Age-Standardized Smoking Prevalence,1,Global,1,Male,29,15+ years,2005,0.377580453,0.379778011,0.37542993
Age-Standardized Smoking Prevalence,1,Global,2,Female,29,15+ years,2005,0.087988998,0.089475573,0.08651486
Age-Standardized Smoking Prevalence,1,Global,3,Both,29,15+ years,2005,0.232236215,0.23355672,0.230812196
Age-Standardized Smoking Prevalence,1,Global,1,Male,29,15+ years,2006,0.373790504,0.376026131,0.371631159
Age-Standardized Smoking Prevalence,1,Global,2,Female,29,15+ years,2006,0.086662194,0.088106158,0.085208421
Age-Standardized Smoking Prevalence,1,Global,3,Both,29,15+ years,2006,0.229669118,0.230948273,0.2283011
Age-Standardized Smoking Prevalence,1,Global,1,Male,29,15+ years,2007,0.370342465,0.372565108,0.368265406
Age-Standardized Smoking Prevalence,1,Global,2,Female,29,15+ years,2007,0.085290462,0.086785902,0.08386294
Age-Standardized Smoking Prevalence,1,Global,3,Both,29,15+ years,2007,0.227266753,0.228560228,0.225874855
Age-Standardized Smoking Prevalence,1,Global,1,Male,29,15+ years,2008,0.366685188,0.368885946,0.364595267
Age-Standardized Smoking Prevalence,1,Global,2,Female,29,15+ years,2008,0.083766656,0.085270762,0.082388895
Age-Standardized Smoking Prevalence,1,Global,3,Both,29,15+ years,2008,0.224682878,0.225974154,0.223254681
Age-Standardized Smoking Prevalence,1,Global,1,Male,29,15+ years,2009,0.363456744,0.36566153,0.361254647
Age-Standardized Smoking Prevalence,1,Global,2,Female,29,15+ years,2009,0.082217652,0.083687858,0.080891551
Age-Standardized Smoking Prevalence,1,Global,3,Both,29,15+ years,2009,0.222286473,0.2235482,0.220870783
Age-Standardized Smoking Prevalence,1,Global,1,Male,29,15+ years,2010,0.360054149,0.362353409,0.357801636
Age-Standardized Smoking Prevalence,1,Global,2,Female,29,15+ years,2010,0.080538204,0.082006672,0.079136961
Age-Standardized Smoking Prevalence,1,Global,3,Both,29,15+ years,2010,0.219728127,0.221026585,0.218345307
Age-Standardized Smoking Prevalence,1,Global,1,Male,29,15+ years,2011,0.356367087,0.358690666,0.353980188
Age-Standardized Smoking Prevalence,1,Global,2,Female,29,15+ years,2011,0.078778618,0.080249861,0.077362313
Age-Standardized Smoking Prevalence,1,Global,3,Both,29,15+ years,2011,0.21699414,0.218296358,0.215562139
Age-Standardized Smoking Prevalence,1,Global,1,Male,29,15+ years,2012,0.352269613,0.354688324,0.349832553
Age-Standardized Smoking Prevalence,1,Global,2,Female,29,15+ years,2012,0.076903799,0.07839925,0.07540992
Age-Standardized Smoking Prevalence,1,Global,3,Both,29,15+ years,2012,0.214005263,0.215390198,0.212474254
Age-Standardized Smoking Prevalence,1,Global,1,Male,29,15+ years,2013,0.347566211,0.350203778,0.344859587
Age-Standardized Smoking Prevalence,1,Global,2,Female,29,15+ years,2013,0.074951794,0.076489571,0.073429442
Age-Standardized Smoking Prevalence,1,Global,3,Both,29,15+ years,2013,0.21067531,0.212201667,0.209057707
Age-Standardized Smoking Prevalence,1,Global,1,Male,29,15+ years,2014,0.342967684,0.345753658,0.340028364
Age-Standardized Smoking Prevalence,1,Global,2,Female,29,15+ years,2014,0.073058192,0.074676263,0.071497827
Age-Standardized Smoking Prevalence,1,Global,3,Both,29,15+ years,2014,0.207427709,0.209038522,0.205744505
Age-Standardized Smoking Prevalence,1,Global,1,Male,29,15+ years,2015,0.338522461,0.341427728,0.33529821
Age-Standardized Smoking Prevalence,1,Global,2,Female,29,15+ years,2015,0.071281457,0.072964849,0.069709178
Age-Standardized Smoking Prevalence,1,Global,3,Both,29,15+ years,2015,0.2043223,0.206018716,0.202476711
Age-Standardized Smoking Prevalence,1,Global,1,Male,29,15+ years,2016,0.334650231,0.337702224,0.331321739
Age-Standardized Smoking Prevalence,1,Global,2,Female,29,15+ years,2016,0.069726776,0.071520708,0.068087881
Age-Standardized Smoking Prevalence,1,Global,3,Both,29,15+ years,2016,0.201620076,0.203392491,0.19963929
Age-Standardized Smoking Prevalence,1,Global,1,Male,29,15+ years,2017,0.331294986,0.334612475,0.327812496
Age-Standardized Smoking Prevalence,1,Global,2,Female,29,15+ years,2017,0.068356252,0.070207329,0.066646553
Age-Standardized Smoking Prevalence,1,Global,3,Both,29,15+ years,2017,0.199267015,0.201139515,0.197146026
Age-Standardized Smoking Prevalence,1,Global,1,Male,29,15+ years,2018,0.328730959,0.332227513,0.325069509
Age-Standardized Smoking Prevalence,1,Global,2,Female,29,15+ years,2018,0.067230207,0.06915394,0.065409072
Age-Standardized Smoking Prevalence,1,Global,3,Both,29,15+ years,2018,0.197429511,0.199434563,0.1952145
Age-Standardized Smoking Prevalence,1,Global,1,Male,29,15+ years,2019,0.326672748,0.330423677,0.322837432
Age-Standardized Smoking Prevalence,1,Global,2,Female,29,15+ years,2019,0.066242564,0.068324587,0.06431729
Age-Standardized Smoking Prevalence,1,Global,3,Both,29,15+ years,2019,0.195915966,0.19809679,0.19368076
Age-Standardized Smoking Prevalence,4,"Southeast Asia, East Asia, and Oceania",1,Male,29,15+ years,1990,0.592446446,0.600815776,0.583189474
Age-Standardized Smoking Prevalence,4,"Southeast Asia, East Asia, and Oceania",2,Female,29,15+ years,1990,0.050649871,0.055535064,0.046416402
Age-Standardized Smoking Prevalence,4,"Southeast Asia, East Asia, and Oceania",3,Both,29,15+ years,1990,0.324671479,0.329596707,0.319655115
Age-Standardized Smoking Prevalence,4,"Southeast Asia, East Asia, and Oceania",1,Male,29,15+ years,1991,0.590683304,0.59839896,0.58191131
Age-Standardized Smoking Prevalence,4,"Southeast Asia, East Asia, and Oceania",2,Female,29,15+ years,1991,0.051255671,0.055887525,0.047285138
Age-Standardized Smoking Prevalence,4,"Southeast Asia, East Asia, and Oceania",3,Both,29,15+ years,1991,0.324266038,0.329009302,0.319421558
Age-Standardized Smoking Prevalence,4,"Southeast Asia, East Asia, and Oceania",1,Male,29,15+ years,1992,0.587800415,0.594890184,0.579516251
Age-Standardized Smoking Prevalence,4,"Southeast Asia, East Asia, and Oceania",2,Female,29,15+ years,1992,0.051683187,0.056125291,0.047945388
Age-Standardized Smoking Prevalence,4,"Southeast Asia, East Asia, and Oceania",3,Both,29,15+ years,1992,0.323176423,0.327592062,0.318735486
Age-Standardized Smoking Prevalence,4,"Southeast Asia, East Asia, and Oceania",1,Male,29,15+ years,1993,0.583797322,0.59083028,0.576029053
Age-Standardized Smoking Prevalence,4,"Southeast Asia, East Asia, and Oceania",2,Female,29,15+ years,1993,0.051908516,0.056109831,0.048397917
Age-Standardized Smoking Prevalence,4,"Southeast Asia, East Asia, and Oceania",3,Both,29,15+ years,1993,0.321362279,0.325506663,0.317216908
Age-Standardized Smoking Prevalence,4,"Southeast Asia, East Asia, and Oceania",1,Male,29,15+ years,1994,0.578521145,0.585441205,0.571561138
Age-Standardized Smoking Prevalence,4,"Southeast Asia, East Asia, and Oceania",2,Female,29,15+ years,1994,0.051851651,0.055852703,0.048400347
Age-Standardized Smoking Prevalence,4,"Southeast Asia, East Asia, and Oceania",3,Both,29,15+ years,1994,0.318708616,0.322737305,0.314926842
Age-Standardized Smoking Prevalence,4,"Southeast Asia, East Asia, and Oceania",1,Male,29,15+ years,1995,0.572427578,0.579003456,0.565879248
Age-Standardized Smoking Prevalence,4,"Southeast Asia, East Asia, and Oceania",2,Female,29,15+ years,1995,0.051647509,0.055522138,0.048279888
Age-Standardized Smoking Prevalence,4,"Southeast Asia, East Asia, and Oceania",3,Both,29,15+ years,1995,0.315482237,0.319391716,0.311836687
Age-Standardized Smoking Prevalence,4,"Southeast Asia, East Asia, and Oceania",1,Male,29,15+ years,1996,0.565452397,0.57153626,0.559369949
Age-Standardized Smoking Prevalence,4,"Southeast Asia, East Asia, and Oceania",2,Female,29,15+ years,1996,0.051289644,0.055054681,0.048062474
Age-Standardized Smoking Prevalence,4,"Southeast Asia, East Asia, and Oceania",3,Both,29,15+ years,1996,0.311651505,0.315355322,0.308035487
Age-Standardized Smoking Prevalence,4,"Southeast Asia, East Asia, and Oceania",1,Male,29,15+ years,1997,0.557541814,0.563619519,0.551758242
Age-Standardized Smoking Prevalence,4,"Southeast Asia, East Asia, and Oceania",2,Female,29,15+ years,1997,0.050683706,0.054360722,0.047535025
Age-Standardized Smoking Prevalence,4,"Southeast Asia, East Asia, and Oceania",3,Both,29,15+ years,1997,0.307175287,0.31069832,0.303742114
Age-Standardized Smoking Prevalence,4,"Southeast Asia, East Asia, and Oceania",1,Male,29,15+ years,1998,0.549167452,0.554998313,0.543406129
Age-Standardized Smoking Prevalence,4,"Southeast Asia, East Asia, and Oceania",2,Female,29,15+ years,1998,0.049926068,0.053611436,0.04679222
Age-Standardized Smoking Prevalence,4,"Southeast Asia, East Asia, and Oceania",3,Both,29,15+ years,1998,0.302331921,0.305718192,0.29902457
Age-Standardized Smoking Prevalence,4,"Southeast Asia, East Asia, and Oceania",1,Male,29,15+ years,1999,0.540816981,0.546319603,0.53502768
Age-Standardized Smoking Prevalence,4,"Southeast Asia, East Asia, and Oceania",2,Female,29,15+ years,1999,0.04907981,0.052469298,0.04595553
Age-Standardized Smoking Prevalence,4,"Southeast Asia, East Asia, and Oceania",3,Both,29,15+ years,1999,0.297447594,0.300743181,0.294210312
Age-Standardized Smoking Prevalence,4,"Southeast Asia, East Asia, and Oceania",1,Male,29,15+ years,2000,0.532810146,0.53824292,0.527304108
Age-Standardized Smoking Prevalence,4,"Southeast Asia, East Asia, and Oceania",2,Female,29,15+ years,2000,0.048260663,0.051637345,0.045208195
Age-Standardized Smoking Prevalence,4,"Southeast Asia, East Asia, and Oceania",3,Both,29,15+ years,2000,0.292735543,0.295866703,0.28950405
Age-Standardized Smoking Prevalence,4,"Southeast Asia, East Asia, and Oceania",1,Male,29,15+ years,2001,0.525578905,0.530784645,0.52027406
Age-Standardized Smoking Prevalence,4,"Southeast Asia, East Asia, and Oceania",2,Female,29,15+ years,2001,0.047472886,0.05073273,0.04445448
Age-Standardized Smoking Prevalence,4,"Southeast Asia, East Asia, and Oceania",3,Both,29,15+ years,2001,0.28843138,0.291545412,0.285316977
Age-Standardized Smoking Prevalence,4,"Southeast Asia, East Asia, and Oceania",1,Male,29,15+ years,2002,0.519210275,0.524464733,0.51379828
Age-Standardized Smoking Prevalence,4,"Southeast Asia, East Asia, and Oceania",2,Female,29,15+ years,2002,0.046723372,0.050090977,0.043843052
Age-Standardized Smoking Prevalence,4,"Southeast Asia, East Asia, and Oceania",3,Both,29,15+ years,2002,0.28461476,0.287788846,0.281488455
Age-Standardized Smoking Prevalence,4,"Southeast Asia, East Asia, and Oceania",1,Male,29,15+ years,2003,0.513952237,0.51918521,0.508512104
Age-Standardized Smoking Prevalence,4,"Southeast Asia, East Asia, and Oceania",2,Female,29,15+ years,2003,0.046064935,0.049284176,0.043186978
Age-Standardized Smoking Prevalence,4,"Southeast Asia, East Asia, and Oceania",3,Both,29,15+ years,2003,0.281442591,0.284691473,0.278374649
Age-Standardized Smoking Prevalence,4,"Southeast Asia, East Asia, and Oceania",1,Male,29,15+ years,2004,0.510066445,0.515229003,0.504827439
Age-Standardized Smoking Prevalence,4,"Southeast Asia, East Asia, and Oceania",2,Female,29,15+ years,2004,0.045459136,0.048663859,0.042524597
Age-Standardized Smoking Prevalence,4,"Southeast Asia, East Asia, and Oceania",3,Both,29,15+ years,2004,0.279035367,0.282165573,0.275902926
Age-Standardized Smoking Prevalence,4,"Southeast Asia, East Asia, and Oceania",1,Male,29,15+ years,2005,0.507387929,0.51240938,0.502314113
Age-Standardized Smoking Prevalence,4,"Southeast Asia, East Asia, and Oceania",2,Female,29,15+ years,2005,0.04494798,0.048146119,0.042001138
Age-Standardized Smoking Prevalence,4,"Southeast Asia, East Asia, and Oceania",3,Both,29,15+ years,2005,0.277306449,0.280217234,0.274296466
Age-Standardized Smoking Prevalence,4,"Southeast Asia, East Asia, and Oceania",1,Male,29,15+ years,2006,0.505650472,0.510706883,0.500779881
Age-Standardized Smoking Prevalence,4,"Southeast Asia, East Asia, and Oceania",2,Female,29,15+ years,2006,0.04450807,0.047748899,0.041501792
Age-Standardized Smoking Prevalence,4,"Southeast Asia, East Asia, and Oceania",3,Both,29,15+ years,2006,0.276121745,0.279082391,0.273115699
Age-Standardized Smoking Prevalence,4,"Southeast Asia, East Asia, and Oceania",1,Male,29,15+ years,2007,0.504660765,0.509784706,0.499841584
Age-Standardized Smoking Prevalence,4,"Southeast Asia, East Asia, and Oceania",2,Female,29,15+ years,2007,0.044106404,0.047267009,0.041277031
Age-Standardized Smoking Prevalence,4,"Southeast Asia, East Asia, and Oceania",3,Both,29,15+ years,2007,0.275368429,0.278249182,0.272480689
Age-Standardized Smoking Prevalence,4,"Southeast Asia, East Asia, and Oceania",1,Male,29,15+ years,2008,0.504391103,0.509603701,0.499454848
Age-Standardized Smoking Prevalence,4,"Southeast Asia, East Asia, and Oceania",2,Female,29,15+ years,2008,0.043731972,0.046960953,0.040863565
Age-Standardized Smoking Prevalence,4,"Southeast Asia, East Asia, and Oceania",3,Both,29,15+ years,2008,0.274972649,0.278039874,0.272163375
Age-Standardized Smoking Prevalence,4,"Southeast Asia, East Asia, and Oceania",1,Male,29,15+ years,2009,0.504697174,0.509875601,0.499685326
Age-Standardized Smoking Prevalence,4,"Southeast Asia, East Asia, and Oceania",2,Female,29,15+ years,2009,0.043425558,0.046656039,0.040621475
Age-Standardized Smoking Prevalence,4,"Southeast Asia, East Asia, and Oceania",3,Both,29,15+ years,2009,0.274888813,0.277930081,0.271909613
Age-Standardized Smoking Prevalence,4,"Southeast Asia, East Asia, and Oceania",1,Male,29,15+ years,2010,0.505103155,0.510461613,0.499692939
Age-Standardized Smoking Prevalence,4,"Southeast Asia, East Asia, and Oceania",2,Female,29,15+ years,2010,0.043161045,0.046512295,0.040212057
Age-Standardized Smoking Prevalence,4,"Southeast Asia, East Asia, and Oceania",3,Both,29,15+ years,2010,0.274898305,0.278026011,0.271748208
Age-Standardized Smoking Prevalence,4,"Southeast Asia, East Asia, and Oceania",1,Male,29,15+ years,2011,0.505047257,0.510613371,0.499373058
Age-Standardized Smoking Prevalence,4,"Southeast Asia, East Asia, and Oceania",2,Female,29,15+ years,2011,0.042838916,0.046204562,0.039782244
Age-Standardized Smoking Prevalence,4,"Southeast Asia, East Asia, and Oceania",3,Both,29,15+ years,2011,0.274653162,0.277975082,0.271334195
Age-Standardized Smoking Prevalence,4,"Southeast Asia, East Asia, and Oceania",1,Male,29,15+ years,2012,0.504563315,0.510658288,0.49834768
Age-Standardized Smoking Prevalence,4,"Southeast Asia, East Asia, and Oceania",2,Female,29,15+ years,2012,0.042478635,0.046005207,0.039344468
Age-Standardized Smoking Prevalence,4,"Southeast Asia, East Asia, and Oceania",3,Both,29,15+ years,2012,0.274184114,0.277727811,0.270546844
Age-Standardized Smoking Prevalence,4,"Southeast Asia, East Asia, and Oceania",1,Male,29,15+ years,2013,0.503395046,0.510177472,0.496476661
Age-Standardized Smoking Prevalence,4,"Southeast Asia, East Asia, and Oceania",2,Female,29,15+ years,2013,0.042038201,0.045701189,0.038699591
Age-Standardized Smoking Prevalence,4,"Southeast Asia, East Asia, and Oceania",3,Both,29,15+ years,2013,0.273350857,0.277222918,0.269505456
Age-Standardized Smoking Prevalence,4,"Southeast Asia, East Asia, and Oceania",1,Male,29,15+ years,2014,0.501850715,0.508933129,0.494296054
Age-Standardized Smoking Prevalence,4,"Southeast Asia, East Asia, and Oceania",2,Female,29,15+ years,2014,0.041581167,0.045348494,0.038079315
Age-Standardized Smoking Prevalence,4,"Southeast Asia, East Asia, and Oceania",3,Both,29,15+ years,2014,0.272362184,0.276385169,0.26814188
Age-Standardized Smoking Prevalence,4,"Southeast Asia, East Asia, and Oceania",1,Male,29,15+ years,2015,0.499926023,0.507489025,0.491981531
Age-Standardized Smoking Prevalence,4,"Southeast Asia, East Asia, and Oceania",2,Female,29,15+ years,2015,0.041076065,0.044814394,0.037444161
Age-Standardized Smoking Prevalence,4,"Southeast Asia, East Asia, and Oceania",3,Both,29,15+ years,2015,0.271175883,0.275548694,0.266493047
Age-Standardized Smoking Prevalence,4,"Southeast Asia, East Asia, and Oceania",1,Male,29,15+ years,2016,0.497920677,0.506178284,0.489589114
Age-Standardized Smoking Prevalence,4,"Southeast Asia, East Asia, and Oceania",2,Female,29,15+ years,2016,0.040583733,0.044519595,0.0368668
Age-Standardized Smoking Prevalence,4,"Southeast Asia, East Asia, and Oceania",3,Both,29,15+ years,2016,0.269961024,0.274513524,0.265127454
Age-Standardized Smoking Prevalence,4,"Southeast Asia, East Asia, and Oceania",1,Male,29,15+ years,2017,0.496136723,0.504751528,0.487584368
Age-Standardized Smoking Prevalence,4,"Southeast Asia, East Asia, and Oceania",2,Female,29,15+ years,2017,0.040117973,0.044230668,0.036229436
Age-Standardized Smoking Prevalence,4,"Southeast Asia, East Asia, and Oceania",3,Both,29,15+ years,2017,0.268885106,0.273582577,0.263876712
Age-Standardized Smoking Prevalence,4,"Southeast Asia, East Asia, and Oceania",1,Male,29,15+ years,2018,0.494884203,0.503977593,0.485587144
Age-Standardized Smoking Prevalence,4,"Southeast Asia, East Asia, and Oceania",2,Female,29,15+ years,2018,0.039715827,0.044074978,0.035675606
Age-Standardized Smoking Prevalence,4,"Southeast Asia, East Asia, and Oceania",3,Both,29,15+ years,2018,0.268134406,0.273130934,0.263134408
Age-Standardized Smoking Prevalence,4,"Southeast Asia, East Asia, and Oceania",1,Male,29,15+ years,2019,0.494282663,0.504230005,0.48435389
Age-Standardized Smoking Prevalence,4,"Southeast Asia, East Asia, and Oceania",2,Female,29,15+ years,2019,0.039391323,0.043938421,0.035097123
Age-Standardized Smoking Prevalence,4,"Southeast Asia, East Asia, and Oceania",3,Both,29,15+ years,2019,0.267783066,0.272873387,0.262292737
Age-Standardized Smoking Prevalence,5,East Asia,1,Male,29,15+ years,1990,0.603911773,0.614399077,0.592451044
Age-Standardized Smoking Prevalence,5,East Asia,2,Female,29,15+ years,1990,0.045230054,0.051451916,0.039699038
Age-Standardized Smoking Prevalence,5,East Asia,3,Both,29,15+ years,1990,0.331469019,0.33809278,0.325225587
Age-Standardized Smoking Prevalence,5,East Asia,1,Male,29,15+ years,1991,0.601856392,0.611728295,0.590672248
Age-Standardized Smoking Prevalence,5,East Asia,2,Female,29,15+ years,1991,0.045996559,0.051709153,0.040963854
Age-Standardized Smoking Prevalence,5,East Asia,3,Both,29,15+ years,1991,0.33100705,0.3372117,0.325100743
Age-Standardized Smoking Prevalence,5,East Asia,1,Male,29,15+ years,1992,0.598251675,0.607851168,0.588091869
Age-Standardized Smoking Prevalence,5,East Asia,2,Female,29,15+ years,1992,0.046531439,0.05215323,0.041737238
Age-Standardized Smoking Prevalence,5,East Asia,3,Both,29,15+ years,1992,0.329591773,0.335347962,0.323968234
Age-Standardized Smoking Prevalence,5,East Asia,1,Male,29,15+ years,1993,0.59300356,0.602233158,0.583017507
Age-Standardized Smoking Prevalence,5,East Asia,2,Female,29,15+ years,1993,0.046792364,0.052441712,0.042309549
Age-Standardized Smoking Prevalence,5,East Asia,3,Both,29,15+ years,1993,0.327118529,0.332527115,0.321686138
Age-Standardized Smoking Prevalence,5,East Asia,1,Male,29,15+ years,1994,0.585945479,0.594769747,0.576711892
Age-Standardized Smoking Prevalence,5,East Asia,2,Female,29,15+ years,1994,0.046689584,0.05221607,0.042294433
Age-Standardized Smoking Prevalence,5,East Asia,3,Both,29,15+ years,1994,0.323469618,0.328680034,0.318207665
Age-Standardized Smoking Prevalence,5,East Asia,1,Male,29,15+ years,1995,0.577741292,0.586246267,0.569152371
Age-Standardized Smoking Prevalence,5,East Asia,2,Female,29,15+ years,1995,0.046390881,0.051421835,0.04209837
Age-Standardized Smoking Prevalence,5,East Asia,3,Both,29,15+ years,1995,0.319036954,0.32400172,0.313965099
Age-Standardized Smoking Prevalence,5,East Asia,1,Male,29,15+ years,1996,0.568306023,0.57598503,0.560122961
Age-Standardized Smoking Prevalence,5,East Asia,2,Female,29,15+ years,1996,0.045901507,0.050801143,0.041626843
Age-Standardized Smoking Prevalence,5,East Asia,3,Both,29,15+ years,1996,0.313762837,0.31847492,0.309140741
Age-Standardized Smoking Prevalence,5,East Asia,1,Male,29,15+ years,1997,0.557662242,0.565451229,0.549988698
Age-Standardized Smoking Prevalence,5,East Asia,2,Female,29,15+ years,1997,0.045129329,0.049866112,0.040968369
Age-Standardized Smoking Prevalence,5,East Asia,3,Both,29,15+ years,1997,0.307656717,0.312037001,0.302968932
Age-Standardized Smoking Prevalence,5,East Asia,1,Male,29,15+ years,1998,0.546573079,0.554225847,0.539298031
Age-Standardized Smoking Prevalence,5,East Asia,2,Female,29,15+ years,1998,0.044205546,0.048778089,0.040095574
Age-Standardized Smoking Prevalence,5,East Asia,3,Both,29,15+ years,1998,0.301162134,0.305565241,0.296809378
Age-Standardized Smoking Prevalence,5,East Asia,1,Male,29,15+ years,1999,0.535654353,0.542989186,0.528517717
Age-Standardized Smoking Prevalence,5,East Asia,2,Female,29,15+ years,1999,0.04319617,0.047684242,0.03918623
Age-Standardized Smoking Prevalence,5,East Asia,3,Both,29,15+ years,1999,0.2947055,0.298992667,0.290441856
Age-Standardized Smoking Prevalence,5,East Asia,1,Male,29,15+ years,2000,0.525501902,0.532618687,0.518517066
Age-Standardized Smoking Prevalence,5,East Asia,2,Female,29,15+ years,2000,0.042282199,0.0466696,0.038371474
Age-Standardized Smoking Prevalence,5,East Asia,3,Both,29,15+ years,2000,0.288674402,0.292807961,0.284659811
Age-Standardized Smoking Prevalence,5,East Asia,1,Male,29,15+ years,2001,0.516647965,0.523683871,0.509577633
Age-Standardized Smoking Prevalence,5,East Asia,2,Female,29,15+ years,2001,0.041445632,0.04572584,0.037573072
Age-Standardized Smoking Prevalence,5,East Asia,3,Both,29,15+ years,2001,0.283336361,0.287428674,0.279309082
Age-Standardized Smoking Prevalence,5,East Asia,1,Male,29,15+ years,2002,0.509308823,0.516429937,0.502311234
Age-Standardized Smoking Prevalence,5,East Asia,2,Female,29,15+ years,2002,0.040744984,0.044900649,0.036933592
Age-Standardized Smoking Prevalence,5,East Asia,3,Both,29,15+ years,2002,0.278875209,0.283077894,0.274807806
Age-Standardized Smoking Prevalence,5,East Asia,1,Male,29,15+ years,2003,0.503636472,0.510757303,0.49652893
Age-Standardized Smoking Prevalence,5,East Asia,2,Female,29,15+ years,2003,0.040186629,0.044344943,0.036332917
Age-Standardized Smoking Prevalence,5,East Asia,3,Both,29,15+ years,2003,0.275388496,0.279716493,0.271307865
Age-Standardized Smoking Prevalence,5,East Asia,1,Male,29,15+ years,2004,0.499787798,0.506816798,0.492689488
