Name,Keph level,Facility type,Owner,Regulatory_body,Beds,Cots,County,Constituency,Sub_county,Ward,Open_whole_day,Open_public_holidays,Open_weekends,Open_late_night
Musuani Medical Centre,Level 2,Dispensaries and clinic-out patient only,Private Practice - General Practitioner,None,0,0,KITUI,MWINGI WEST,mwingi west,KYOME/THAANA,No,No,No,No
Muthangira Dispensary,Level 2,Basic primary health care facility,Ministry of Health,None,0,0,NYERI,KIENI,kieni west,MUGUNDA,No,No,No,No
ST.TRESA'S OLK MEDICAL CLINIC,Level 2,Dispensaries and clinic-out patient only,Private Practice - Clinical Officer,None,1,0,NYANDARUA,OL KALOU,olkalou,KARAU,No,No,No,No
Kericho Medical Clinic,Level 2,Dispensaries and clinic-out patient only,Private Practice - Medical Specialist,Kenya MPDB - Private Practice,0,0,KERICHO,AINAMOI,ainamoi,KIPCHEBOR,No,No,Yes,No
Orion Healthcare Medical Centre,Level 2,Basic primary health care facility,Private Practice - Medical Specialist,Kenya MPDB - Private Practice,0,0,BUSIA,MATAYOS,matayos,BURUMBA,No,No,Yes,No
COMMUNITY HEALTH SERVICE,Level 2,Dispensaries and clinic-out patient only,Private Practice - Nurse / Midwifery,Nursing Council of Kenya (Private Practice),0,0,MURANG'A,MATHIOYA,mathioya,GITUGI,No,Yes,Yes,No
Kilele Medical Specialist Centre,Level 2,Dispensaries and clinic-out patient only,Private Practice - Medical Specialist,Kenya MPDB - Private Practice,0,0,"NAIROBI",MAKADARA,makadara,MARINGO/HAMZA,No,No,Yes,No
Sanctuary Rains Medical Centre,Level 3,Basic primary health care facility,Private Practice - Clinical Officer,None,2,1,"NAIROBI",DAGORETTI SOUTH,dagoretti south,UTHIRU/RUTHIMITU,Yes,Yes,Yes,Yes
Highway Medical Clinic Mukuyuni,Level 2,Dispensaries and clinic-out patient only,Private Practice - Clinical Officer,Clinical Officers Council,0,0,BUNGOMA,TONGAREN,tongaren,MILIMA,No,No,Yes,No
ScanHealth Limited-Kericho,Level 2,Radiology Clinic,Private Practice - Medical Specialist,Kenya Radiation Protection Board,0,0,KERICHO,AINAMOI,ainamoi,KIPCHEBOR,No,No,No,No
Aimo Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,HOMA BAY,KASIPUL,kasipul,EAST KAMAGAK,No,No,No,No
Saika Community Medical Centre,Level 2,Dispensaries and clinic-out patient only,Private Practice - Nurse / Midwifery,None,0,0,"NAIROBI",KASARANI,kasarani,NJIRU,No,No,Yes,No
Selina's Health Care,Level 3,Basic primary health care facility,Private Practice - Nurse / Midwifery,Nursing Council of Kenya (Private Practice),15,0,"NAIROBI",EMBAKASI NORTH,embakasi north,KARIOBANGI NORTH,Yes,Yes,Yes,Yes
Naagis Dispensary,Level 2,Basic primary health care facility,Public Institution,Ministry of Health,0,0,TURKANA,LOIMA,loima,TURKWEL,No,No,No,No
Oasis Doctors Plaza Nairobi Green House,Level 2,Dispensaries and clinic-out patient only,Private Practice - Medical Specialist,None,0,0,"NAIROBI",KIBRA,kibera,WOODLEY/KENYATTA GOLF COURSE,No,No,No,No
Karen Roses Medical Clinic,Level 2,Dispensaries and clinic-out patient only,Private Practice - Nurse / Midwifery,Kenya MPDB - Private Practice,0,0,"NAIROBI",LANGATA,langata,KAREN,No,No,No,No
South C Hospital Limited(South C),Level 3,Primary care hospitals,Private Enterprise (Institution),Kenya MPDB - Private Practice,8,0,"NAIROBI",LANGATA,langata,SOUTH C,Yes,Yes,Yes,Yes
Our Mother of Perpetual Help Bamba Catholic Dispensary,Level 2,Dispensaries and clinic-out patient only,Private Practice - Nurse / Midwifery,None,0,0,KILIFI,GANZE,ganze,BAMBA,No,No,No,No
Nasianda,Level 2,Basic primary health care facility,Ministry of Health,Ministry of Health,0,0,TRANS NZOIA,SABOTI,saboti,KINYORO,No,No,No,No
Gynocare womens &fistula hospital,Level 4,Secondary care hospitals,Private Practice - Medical Specialist,None,80,0,UASIN GISHU,TURBO,turbo,KAPSAOS,Yes,Yes,Yes,Yes
Quality care medical clinic,Level 2,Basic primary health care facility,Private Practice - Nurse / Midwifery,None,1,0,UASIN GISHU,TURBO,turbo,KAPSAOS,Yes,Yes,Yes,Yes
Katsakakairu Disp,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,None,2,0,LAMU,LAMU WEST,lamu west,WITU,No,No,No,No
Uziwa Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,None,1,0,LAMU,LAMU WEST,lamu west,BAHARI,No,No,No,No
Dago,Level 2,Basic primary health care facility,Ministry of Health,Ministry of Health,0,0,KISUMU,KISUMU WEST,kisumu west,KISUMU NORTH,No,No,No,No
South C Dialysis Centre,Level 2,Dispensaries and clinic-out patient only,Private Company,Kenya MPDB - Institution,4,0,"NAIROBI",LANGATA,langata,SOUTH C,No,Yes,Yes,No
Tewe Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,None,1,0,LAMU,LAMU WEST,lamu west,BAHARI,No,No,No,No
Sinambio Disp,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,None,1,0,LAMU,LAMU WEST,lamu west,WITU,No,No,No,No
MaishaMaish  Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,None,1,0,LAMU,LAMU WEST,lamu west,WITU,No,No,No,No
Holsoms Nursing Home,Level 3,Basic primary health care facility,Private Practice - Clinical Officer,None,20,6,NYAMIRA,KITUTU MASABA,manga,KAMERA,Yes,Yes,Yes,Yes
Chepsoo Medical Centre,Level 2,Dispensaries and clinic-out patient only,Private Practice - General Practitioner,Kenya MPDB - Private Practice,3,0,"NANDI",EMGWEN,emgwen,KAPSABET,Yes,Yes,Yes,No
Agahkan Ngong Clinic,Level 2,Dispensaries and clinic-out patient only,Private Practice - Nurse / Midwifery,None,0,0,KAJIADO,KAJIADO NORTH,kajiado north,NGONG,No,No,No,No
Gertrude's Children Hospital-Thika Rd,Level 2,Basic primary health care facility,Private Practice - General Practitioner,None,0,0,"NAIROBI",ROYSAMBU,roysambu,ROYSAMBU,No,Yes,Yes,Yes
Equity Afia Kayole,Level 2,Dispensaries and clinic-out patient only,Company Medical Service,None,0,0,"NAIROBI",EMBAKASI CENTRAL,embakasi central,KAYOLE NORTH,No,No,Yes,No
Lomunyenekirionok dispensary,Level 2,Basic primary health care facility,Ministry of Health,None,0,0,TURKANA,TURKANA WEST,turkana west,KALOBEYEI,No,No,No,No
Rushi Medical Clinic,Level 2,Dispensaries and clinic-out patient only,Private Practice - Nurse / Midwifery,Nursing Council of Kenya (Private Practice),0,0,BUSIA,MATAYOS,matayos,BURUMBA,No,No,Yes,No
Blissfam medical centre,Level 2,Comprehensive primary health care facility,Private Practice - General Practitioner,None,5,2,KILIFI,KILIFI SOUTH,kilifi south,SHIMO LA TEWA,Yes,Yes,Yes,Yes
st Angela Medical Centre,Level 2,Basic primary health care facility,Private Practice - Clinical Officer,None,3,1,KAKAMEGA,MATUNGU,matungu,MAYONI,Yes,Yes,Yes,Yes
Bethlehem Home Hospital,None,Basic primary health care facility,Private Practice - Clinical Officer,None,6,6,KISUMU,NYAKACH,nyakach,SOUTH EAST NYAKACH,Yes,Yes,Yes,Yes
HEARTLANDS MEDICAL CENTRE,Level 2,Dispensaries and clinic-out patient only,Private Practice - Clinical Officer,None,0,0,"NAROK","NAROK NORTH",narok north,"NAROK TOWN",No,Yes,Yes,Yes
Bliss M Clinic,Level 2,Dispensaries and clinic-out patient only,Private Practice - Clinical Officer,Clinical Officers Council,26,0,KAKAMEGA,MATUNGU,matungu,KOYONZO,Yes,Yes,Yes,Yes
Jimba Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,KILIFI,KILIFI NORTH,kilifi north,WATAMU,No,No,No,No
Rungut Dispensary,Level 2,Dispensaries and clinic-out patient only,Public Institution,None,0,0,KERICHO,BURETI,bureti,LITEIN,No,No,No,No
Hope care medical centre,Level 2,Dispensaries and clinic-out patient only,Private Practice - Clinical Officer,Kenya MPDB - Private Practice,0,0,KAJIADO,KAJIADO NORTH,kajiado north,ONGATA RONGAI,No,No,No,No
MASAKA DISPENSARY,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,KAKAMEGA,IKOLOMANI,ikolomani,IDAKHO CENTRAL,No,No,No,No
EREGI TTC CLINIC,Level 2,Dispensaries and clinic-out patient only,Non-Governmental Organizations,Ministry of Health,0,0,KAKAMEGA,IKOLOMANI,ikolomani,IDAKHO SOUTH,No,No,No,No
LUKANJI HEALTH CLINIC,Level 2,Dispensaries and clinic-out patient only,Non-Governmental Organizations,Ministry of Health,4,0,KAKAMEGA,IKOLOMANI,ikolomani,IDAKHO CENTRAL,No,No,No,No
Bahati Hospital - Malaa,Level 2,Basic primary health care facility,Private Practice - Clinical Officer,None,0,0,MACHAKOS,MATUNGULU,matungulu,MATUNGULU WEST,No,Yes,Yes,No
Eastern Afya Medical Centre,Level 2,Dispensaries and clinic-out patient only,Private Practice - Nurse / Midwifery,Nursing Council of Kenya (Private Practice),0,0,MACHAKOS,MAVOKO,athi river,SYOKIMAU/MULOLONGO,No,No,Yes,No
Ruai Family Hospital - Tala,Level 3,Comprehensive primary health care facility,Private Practice - Medical Specialist,Kenya MPDB - Private Practice,20,4,MACHAKOS,MATUNGULU,matungulu,TALA,Yes,Yes,Yes,Yes
Lwakhakha Dispensary,Level 2,Basic primary health care facility,Public Institution,None,0,0,BUNGOMA,SIRISIA,sirisia,LWANDANYI,No,No,No,No
Get Well Clinic,Level 2,Dispensaries and clinic-out patient only,Private Practice - Clinical Officer,None,0,0,KISUMU,KISUMU WEST,kisumu west,KISUMU NORTH,No,No,No,No
OTIENDE OUTPATIENT CLINIC,Level 2,Dispensaries and clinic-out patient only,Private Practice - Clinical Officer,None,0,0,HOMA BAY,NDHIWA,ndhiwa,KANYIKELA,No,Yes,Yes,No
KOTIENDE OUPATIENT CLINIC,Level 2,Basic primary health care facility,Private Practice - Clinical Officer,None,0,0,HOMA BAY,NDHIWA,ndhiwa,KANYAMWA KOLOGI,No,No,No,No
Afya Bora Clinic(Busia),Level 2,Dispensaries and clinic-out patient only,Private Practice - Clinical Officer,None,0,0,BUSIA,MATAYOS,matayos,BURUMBA,No,Yes,Yes,No
TOGONYE DISPENSARY,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Other,0,0,KIRINYAGA,MWEA,kirinyaga south,MURINDUKO,No,No,No,No
Wananchi Clinic and Optician,Level 2,Basic primary health care facility,Private Practice - Clinical Officer,None,0,0,EMBU,MANYATTA,manyatta,KIRIMARI,No,No,Yes,No
MAMAS NURSING HOME,Level 2,Comprehensive primary health care facility,Non-Governmental Organizations,None,10,0,HOMA BAY,NDHIWA,ndhiwa,KANYIKELA,Yes,Yes,Yes,Yes
MAISHA CLINIC NDHIWA,Level 2,Basic primary health care facility,Non-Governmental Organizations,None,1,0,HOMA BAY,NDHIWA,ndhiwa,KANYAMWA KOSEWE,No,No,No,No
KIAGUTHU DISPENSARY,Level 2,Basic primary health care facility,Ministry of Health,None,0,0,NYERI,Nyeri South,nyeri south,CHINGA,No,No,No,No
Cieni dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,None,0,0,NYERI,MATHIRA,mathira west,RUGURU,No,No,No,No
Palis Medical Clinic,Level 2,Basic primary health care facility,Private Practice - Clinical Officer,Clinical Officers Council,0,0,KIRINYAGA,MWEA,kirinyaga north/mwea west,KANGAI,No,No,Yes,No
Kianjogu Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,None,0,0,NYERI,MATHIRA,mathira west,KIRIMUKUYU,No,No,No,No
Gathumbi Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,None,0,0,NYERI,MATHIRA,mathira west,KIRIMUKUYU,No,No,No,No
St. Akidiva Memorial,Level 3,Comprehensive primary health care facility,Other Faith Based,Ministry of Health,30,2,"NAROK",KILGORIS,transmara west,LOLGORIAN,Yes,Yes,Yes,Yes
Faith CFW Clinic,Level 2,Dispensaries and clinic-out patient only,Non-Governmental Organizations,Kenya MPDB - Private Practice,0,0,EMBU,RUNYENJES,runyenjes,KAGAARI NORTH,No,Yes,No,No
Patience CFW Clinic,Level 2,Dispensaries and clinic-out patient only,Non-Governmental Organizations,Kenya MPDB - Private Practice,0,0,EMBU,RUNYENJES,runyenjes,KAGAARI SOUTH,No,No,No,No
Tumaini CFW Clinic,Level 2,Dispensaries and clinic-out patient only,Non-Governmental Organizations,Kenya MPDB - Private Practice,0,0,EMBU,RUNYENJES,runyenjes,KAGAARI SOUTH,No,No,No,No
Africare Limited Eastleigh,Level 3,Basic primary health care facility,Private Practice - Unspecified,Kenya MPDB - Private Practice,4,1,"NAIROBI",KAMUKUNJI,kamukunji,EASTLEIGH NORTH,No,Yes,Yes,No
Mtwapa drop in and resource centre,Level 2,VCT,Non-Governmental Organizations,Kenya MPDB - Private Practice,0,0,KILIFI,KILIFI SOUTH,kilifi south,SHIMO LA TEWA,No,No,No,No
Masii Medical Centre,Level 2,Basic primary health care facility,Private Practice - Clinical Officer,None,2,0,MACHAKOS,MWALA,mwala,MASII,No,Yes,Yes,No
Mwangea community Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,None,0,0,KWALE,KINANGO,kinango,CHENGONI/SAMBURU,No,No,No,No
Unicure Medical Centre,Level 2,Basic primary health care facility,Private Practice - General Practitioner,Kenya MPDB - Private Practice,0,0,KIRINYAGA,KIRINYAGA CENTRAL,kirinyaga central,MUTIRA,No,No,No,No
Endoscopy and Diagnostic Center Kerugoya,Level 2,Basic primary health care facility,Private Practice - Medical Specialist,Kenya MPDB - Private Practice,0,0,KIRINYAGA,KIRINYAGA CENTRAL,kirinyaga central,KERUGOYA,No,No,No,No
Professor Wasuna Clinic,Level 2,Basic primary health care facility,Private Practice - Medical Specialist,Kenya MPDB - Private Practice,0,0,"NAIROBI",WESTLANDS,westlands,PARKLANDS/HIGHRIDGE,No,No,No,No
Githima Disp,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,None,0,0,NYERI,MATHIRA,mathira east,KONYU,No,No,No,No
machesa dispensary,Level 2,Dispensaries and clinic-out patient only,Public Institution,Ministry of Health,0,0,WAJIR,WAJIR SOUTH,wajir south,BENANE,No,No,No,No
Kapkitony,Level 2,Basic primary health care facility,Ministry of Health,Ministry of Health,0,0,BARINGO,BARINGO NORTH,baringo north,KABARTONJO,No,No,No,No
Lokorkor Dispensary,Level 2,Basic primary health care facility,Ministry of Health,None,2,0,TURKANA,TURKANA EAST,turkana east,KATILIA,No,No,No,No
Lobulono Dispensary,Level 2,Basic primary health care facility,Public Institution,None,2,0,TURKANA,TURKANA NORTH,kibish,KIBISH,No,No,No,No
Fountain Healthcare Ltd Bungoma,Level 3,Comprehensive primary health care facility,Private Practice - General Practitioner,None,19,1,BUNGOMA,KANDUYI,kanduyi,KHALABA,Yes,Yes,Yes,Yes
CENTRAL MEDICAL CLINIC,Level 2,Dispensaries and clinic-out patient only,Private Practice - Clinical Officer,None,0,0,KISII,KITUTU CHACHE SOUTH,kitutu chache south,KITUTU CENTRAL,No,Yes,Yes,No
Sirende medical clinic,Level 2,Dispensaries and clinic-out patient only,Private Practice - Clinical Officer,Kenya MPDB - Private Practice,0,0,TRANS NZOIA,KIMININI,kiminini,SIRENDE,No,No,No,No
Primecare medical centre,Level 2,Dispensaries and clinic-out patient only,Private Practice - Clinical Officer,None,0,0,TRANS NZOIA,KIMININI,kiminini,SIRENDE,No,No,No,No
Bliss CVS Healthcare Limited Kapsabet,Level 2,Dispensaries and clinic-out patient only,Private Practice - General Practitioner,Kenya MPDB - Institution,5,0,"NANDI",EMGWEN,emgwen,KAPSABET,No,Yes,Yes,No
Marysyl Medical Clinic,Level 2,Dispensaries and clinic-out patient only,Private Practice - Clinical Officer,None,0,0,KAKAMEGA,KHWISERO,khwisero,KISA WEST,No,Yes,Yes,No
Africare Ltd Karen Clinic,Level 2,Dispensaries and clinic-out patient only,Private Company,Kenya MPDB - Private Practice,0,0,"NAIROBI",LANGATA,langata,KAREN,No,No,No,No
Koykoy Dispensary,Level 2,Basic primary health care facility,Ministry of Health,None,0,0,TRANS NZOIA,SABOTI,saboti,SABOTI,No,No,No,No
Chemichem Dispensary,Level 2,Basic primary health care facility,Ministry of Health,None,0,0,TRANS NZOIA,SABOTI,saboti,MACHEWA,No,No,No,No
MAISHA HEALTH CARE CLINIC,Level 2,Basic primary health care facility,Non-Governmental Organizations,None,3,0,HOMA BAY,MBITA,mbita,KASGUNGA,No,No,No,No
Rafiki Health Centre,Level 2,Basic primary health care facility,Ministry of Health,None,0,0,TRANS NZOIA,SABOTI,saboti,MATISI,No,No,No,No
Nzoia Medical Centre Chwele,Level 3,Basic primary health care facility,Private Enterprise (Institution),None,18,0,BUNGOMA,KABUCHAI,kabuchai,KABUCHAI/CHWELE,Yes,Yes,Yes,Yes
Oltumusoi Dispensary,Level 2,Basic primary health care facility,Ministry of Health,None,0,0,"NAROK","NAROK SOUTH",narok south,MAJI MOTO/NAROOSURA,No,No,No,No
Nzioa Medical Centre Chwele,Level 3,Basic primary health care facility,Private Enterprise (Institution),None,18,0,BUNGOMA,KABUCHAI,kabuchai,KABUCHAI/CHWELE,Yes,Yes,Yes,Yes
Koinange Dispensary,Level 2,Basic primary health care facility,Public Institution,None,0,0,NYANDARUA,KINANGOP,kinangop,GITHABAI,No,No,No,No
AFYALINK MEDICAL LABARATORIES,Level 2,Laboratory,Laboratory Technician/Technologist,None,0,0,KIRINYAGA,MWEA,kirinyaga south,NYANGUTI,No,Yes,Yes,No
Gitunduti Medical Clinic,Level 2,Dispensaries and clinic-out patient only,Private Practice - Nurse / Midwifery,None,0,0,NYERI,MATHIRA,mathira east,MAGUTU,No,Yes,Yes,No
ACK NGUNI CBHC ANNEX CLINIC,Level 2,Dispensaries and clinic-out patient only,Christian Health Association of Kenya,None,0,0,KITUI,MWINGI CENTRAL,mwingi central,NGUNI,No,No,No,No
Goshen Medical clinic,Level 2,Dispensaries and clinic-out patient only,Private Practice - Nurse / Midwifery,None,0,0,NYERI,MATHIRA,mathira east,MAGUTU,No,Yes,Yes,No
Interlink Optical and Care Services,Level 3,Basic primary health care facility,Private Practice - Clinical Officer,Clinical Officers Council,0,0,KIRINYAGA,KIRINYAGA CENTRAL,kirinyaga central,KERUGOYA,No,No,No,No
Bwake,Level 2,Basic primary health care facility,Ministry of Health,Ministry of Health,0,0,TRANS NZOIA,CHERANGANY,cherangany,CHERANGANY/SUWERWA,No,No,No,No
Saboti Medical Clinic,Level 2,Pharmacy,Private Practice - Nurse / Midwifery,None,3,1,TRANS NZOIA,SABOTI,saboti,SABOTI,No,Yes,Yes,No
Chanuka Youth Centre,Level 2,Basic primary health care facility,Non-Governmental Organizations,None,0,0,TRANS NZOIA,SABOTI,saboti,MATISI,No,No,No,No
Mercal Health Care Ltd,Level 2,Laboratory,Private Practice - General Practitioner,None,0,0,TRANS NZOIA,SABOTI,saboti,MATISI,No,No,No,No
Aruba,Level 2,Basic primary health care facility,Ministry of Health,Ministry of Health,0,0,TRANS NZOIA,CHERANGANY,cherangany,SINYERERE,No,No,No,No
Dr.Stephen Kamore Wanjohi,Level 2,Basic primary health care facility,Private Practice - Medical Specialist,Kenya MPDB - Private Practice,0,0,"NAIROBI",WESTLANDS,westlands,PARKLANDS/HIGHRIDGE,No,No,No,No
Cheptobot,Level 2,Basic primary health care facility,Ministry of Health,Ministry of Health,0,0,TRANS NZOIA,CHERANGANY,cherangany,CHERANGANY/SUWERWA,No,No,No,No
GINGO COMMUNITY,Level 2,Basic primary health care facility,Private Practice - Clinical Officer,None,3,0,HOMA BAY,SUBA,suba,KAKSINGIRI WEST,No,No,No,No
SINDO MEDICAL CENTRE,Level 3,Basic primary health care facility,Private Practice - Clinical Officer,Ministry of Health,10,0,HOMA BAY,SUBA,suba,KAKSINGIRI WEST,Yes,No,No,No
Kesogon,Level 2,Basic primary health care facility,Ministry of Health,Ministry of Health,0,0,TRANS NZOIA,CHERANGANY,cherangany,SINYERERE,No,No,No,No
Kapsigilai,Level 2,Basic primary health care facility,Ministry of Health,None,0,0,TRANS NZOIA,CHERANGANY,cherangany,CHEPSIRO/KIPTOROR,No,No,No,No
KEMRI ALUPE HOSPITAL,Level 3,Primary care hospitals,Non-Governmental Organizations,Ministry of Health,15,0,BUSIA,TESO SOUTH,teso south,ANG'OROM,Yes,Yes,Yes,Yes
KARI TRC HOSPITAL,Level 3,Primary care hospitals,Non-Governmental Organizations,None,12,0,BUSIA,TESO SOUTH,teso south,ANG'OROM,Yes,Yes,Yes,Yes
KARI HOSPTAL,Level 3,Primary care hospitals,Non-Governmental Organizations,None,12,0,BUSIA,TESO SOUTH,teso south,ANG'OROM,Yes,Yes,Yes,Yes
Mutunyi Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,None,0,0,MERU,BUURI,buuri,KISIMA,No,No,No,No
Baibariu Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,None,0,0,MERU,IGEMBE CENTRAL,igembe central,ATHIRU RUUJINE,No,No,No,No
Kayos Dispensary Puiblic,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,None,0,0,TRANS NZOIA,ENDEBESS,endebess,MATUMBEI,No,No,No,No
Kayos Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,None,0,0,TRANS NZOIA,ENDEBESS,endebess,CHEPCHOINA,No,No,No,No
Nyakoigwana Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,None,0,0,TRANS NZOIA,ENDEBESS,endebess,MATUMBEI,No,No,No,No
Khalwenge Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,TRANS NZOIA,ENDEBESS,endebess,ENDEBESS,No,No,No,No
Matumbei Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,None,0,0,TRANS NZOIA,ENDEBESS,endebess,MATUMBEI,No,No,No,No
Twiga Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,TRANS NZOIA,ENDEBESS,endebess,CHEPCHOINA,No,No,No,No
Kapkarwa,Level 2,Basic primary health care facility,Ministry of Health,None,0,0,TRANS NZOIA,CHERANGANY,cherangany,CHERANGANY/SUWERWA,No,No,No,No
Avenue Health Care Embakasi,Level 3,Basic primary health care facility,Private Practice - Unspecified,None,8,4,"NAIROBI",EMBAKASI EAST,embakasi east,EMBAKASI,No,Yes,Yes,No
CENTER VIEW MEDICAL HEALTH CARE,Level 3,Basic primary health care facility,Private Practice - Clinical Officer,Clinical Officers Council,6,0,BUSIA,TESO NORTH,teso north,MALABA CENTRAL,Yes,Yes,Yes,Yes
Kiptenden,Level 2,Basic primary health care facility,Ministry of Health,Ministry of Health,0,0,TRANS NZOIA,CHERANGANY,cherangany,CHEPSIRO/KIPTOROR,No,No,No,No
ST Marys' Health Care,Level 2,Dispensaries and clinic-out patient only,Kenya Episcopal Conference-Catholic Secretariat,Kenya MPDB - Private Practice,0,0,KILIFI,KILIFI SOUTH,kilifi south,SHIMO LA TEWA,No,No,No,No
Benard Vision Medical Center,Level 2,Dispensaries and clinic-out patient only,Company Medical Service,None,4,0,HOMA BAY,KARACHUONYO,karachuonyo,KANYALUO,No,No,No,No
MILIMANI DISPENSARY,Level 2,Basic primary health care facility,Ministry of Health,Ministry of Health,0,0,KAKAMEGA,IKOLOMANI,ikolomani,IDAKHO SOUTH,No,No,No,No
