village,interview_date,no_membrs,years_liv,respondent_wall_type,rooms,memb_assoc,affect_conflicts,liv_count,items_owned,no_meals,months_lack_food
God,2016-11-21T00:00:00Z,6,1,burntbricks,1,NULL,NULL,1,bicycle;cow_plough;solar_torch,2,Oct;Nov
God,2016-11-21T00:00:00Z,8,20,burntbricks,1,no,never,3,NULL,2,Jan;Feb;Mar;Oct;Nov;Dec
God,2016-11-21T00:00:00Z,4,20,muddaub,1,NULL,NULL,1,radio,2,Jan;Feb;Mar;Apr;Aug;Sept;Oct;Nov;Dec
Ruaca,2016-11-21T00:00:00Z,10,20,burntbricks,4,NULL,NULL,3,cow_cart;bicycle;television;radio;cow_plough;solar_panel;electricity;mobile_phone,3,none
Ruaca,2016-11-21T00:00:00Z,6,4,burntbricks,2,no,never,3,radio;table;sofa_set;mobile_phone,2,Nov;Dec
Ruaca,2016-11-21T00:00:00Z,11,6,burntbricks,3,no,never,2,cow_cart;motorcyle;television;radio;cow_plough;solar_panel;solar_torch;table;sofa_set;mobile_phone,2,Jan;Feb;Oct
Ruaca,2016-11-21T00:00:00Z,3,20,burntbricks,2,no,never,2,radio;cow_plough;table;mobile_phone,2,none
Ruaca,2016-11-21T00:00:00Z,7,36,burntbricks,2,NULL,NULL,3,bicycle;radio;cow_plough;solar_panel;solar_torch;mobile_phone,3,none
Ruaca,2016-11-21T00:00:00Z,2,2,muddaub,1,no,more_once,1,NULL,3,Aug;Sept;Oct
Ruaca,2016-11-21T00:00:00Z,7,10,burntbricks,2,yes,frequently,1,motorcyle;bicycle;radio;table;mobile_phone,3,Jan;Feb
Ruaca,2016-11-21T00:00:00Z,7,22,muddaub,2,NULL,NULL,1,bicycle;radio;mobile_phone,2,Jan;Feb
Ruaca,2016-11-21T00:00:00Z,3,2,muddaub,1,NULL,NULL,1,NULL,3,none
Ruaca,2016-11-21T00:00:00Z,19,69,muddaub,2,yes,more_once,5,cow_cart;motorcyle;radio;cow_plough;solar_panel;mobile_phone,2,none
Ruaca,2016-11-21T00:00:00Z,8,34,muddaub,1,no,more_once,2,cow_cart;lorry;motorcyle;sterio;cow_plough;solar_panel;mobile_phone,2,none
Chirodzo,2016-11-17T00:00:00Z,8,18,burntbricks,3,yes,more_once,3,television;radio;cow_plough;solar_panel;solar_torch;table;mobile_phone,2,Jan;Dec
Chirodzo,2016-11-17T00:00:00Z,5,45,muddaub,1,yes,more_once,2,bicycle;cow_plough,3,Jan;Sept;Oct;Nov;Dec
Chirodzo,2016-11-17T00:00:00Z,6,23,sunbricks,1,yes,once,3,cow_cart;bicycle;radio;cow_plough;solar_panel;mobile_phone,3,none
Chirodzo,2016-11-17T00:00:00Z,3,8,burntbricks,1,NULL,NULL,2,bicycle;television;radio;cow_plough;solar_panel;solar_torch;mobile_phone,3,Jan;Nov;Dec
God,2016-11-17T00:00:00Z,10,19,muddaub,1,yes,never,3,bicycle;radio;cow_plough;solar_panel;table;mobile_phone,3,Nov
God,2016-11-17T00:00:00Z,6,22,muddaub,1,NULL,NULL,1,NULL,3,Nov
God,2016-11-17T00:00:00Z,9,23,burntbricks,1,yes,never,1,bicycle;radio;cow_plough;solar_panel;table;mobile_phone,3,Sept;Oct;Nov
God,2016-11-17T00:00:00Z,7,22,muddaub,1,NULL,NULL,2,motorcyle;bicycle;radio;cow_plough;table,3,Oct;Nov
God,2016-11-17T00:00:00Z,8,8,sunbricks,1,no,never,3,mobile_phone,3,Jan;Nov;Dec
Chirodzo,2016-11-17T00:00:00Z,7,29,muddaub,1,no,never,2,cow_plough;mobile_phone,2,Jan;Feb;Oct;Nov;Dec
Chirodzo,2016-11-17T00:00:00Z,2,6,muddaub,1,NULL,NULL,3,radio;solar_torch,2,Jan;Dec
Chirodzo,2016-11-17T00:00:00Z,9,7,muddaub,1,no,never,4,motorcyle;bicycle;television;radio;cow_plough;solar_panel;solar_torch;table;mobile_phone,3,none
Chirodzo,2016-11-17T00:00:00Z,10,42,burntbricks,2,no,once,2,motorcyle;computer;television;sterio;solar_panel;solar_torch;table;mobile_phone,2,Sept;Oct;Nov
Chirodzo,2016-11-17T00:00:00Z,2,2,muddaub,1,yes,once,1,solar_torch;mobile_phone,3,none
Chirodzo,2016-11-16T00:00:00Z,7,58,muddaub,1,NULL,NULL,3,radio,3,June;July;Aug;Sept;Oct;Nov
Chirodzo,2016-11-16T00:00:00Z,6,26,burntbricks,2,NULL,NULL,2,bicycle;radio;cow_plough;solar_panel;solar_torch;table;mobile_phone,3,Jan;Nov;Dec
Chirodzo,2016-11-16T00:00:00Z,6,7,muddaub,1,yes,never,1,solar_torch,2,June;July;Aug;Sept;Oct;Nov;Dec
Chirodzo,2016-11-16T00:00:00Z,5,30,muddaub,1,NULL,NULL,1,radio,3,Oct;Nov
Chirodzo,2016-11-16T00:00:00Z,11,15,burntbricks,3,no,never,3,motorcyle;television;radio;cow_plough;solar_panel;mobile_phone,3,Aug;Sept;Oct;Nov
Chirodzo,2016-11-16T00:00:00Z,8,16,burntbricks,3,yes,frequently,2,bicycle;radio;mobile_phone,2,Nov
Chirodzo,2016-11-16T00:00:00Z,7,15,muddaub,1,no,never,1,NULL,2,Sept;Oct;Nov
Chirodzo,2016-11-16T00:00:00Z,9,23,muddaub,2,NULL,NULL,1,television;cow_plough;mobile_phone,2,Oct;Nov
Chirodzo,2016-11-16T00:00:00Z,12,23,burntbricks,2,yes,never,2,motorcyle;bicycle;mobile_phone,3,none
Chirodzo,2016-11-16T00:00:00Z,4,27,burntbricks,1,no,never,1,radio,2,none
Chirodzo,2016-11-16T00:00:00Z,11,45,burntbricks,3,no,never,3,motorcyle;bicycle;television;radio;cow_plough;solar_panel;mobile_phone,2,none
Chirodzo,2016-11-16T00:00:00Z,2,60,muddaub,3,NULL,NULL,3,NULL,2,none
Chirodzo,2016-11-16T00:00:00Z,8,15,burntbricks,2,no,never,4,cow_plough,2,none
Chirodzo,2016-11-16T00:00:00Z,10,14,muddaub,1,yes,more_once,3,cow_cart;motorcyle;bicycle;television;radio;cow_plough;solar_panel;table;mobile_phone,3,Jan;Feb;Dec
Chirodzo,2016-11-16T00:00:00Z,5,5,muddaub,1,NULL,NULL,1,bicycle;radio;mobile_phone,3,Aug;Sept;Oct;Nov
Chirodzo,2016-11-16T00:00:00Z,4,10,muddaub,1,NULL,NULL,1,NULL,3,Jan;Oct;Nov;Dec
Chirodzo,2016-11-16T00:00:00Z,6,1,muddaub,1,NULL,NULL,1,bicycle;solar_torch;table;sofa_set;mobile_phone,3,Jan;Feb;Dec
Chirodzo,2016-11-16T00:00:00Z,8,20,burntbricks,3,no,once,3,motorcyle;radio;cow_plough;table,3,Jan;Feb;Mar
Chirodzo,2016-11-16T00:00:00Z,10,37,burntbricks,3,yes,frequently,4,cow_cart;motorcyle;bicycle;television;radio;cow_plough;solar_panel;solar_torch;mobile_phone,3,none
Chirodzo,2016-11-16T00:00:00Z,5,31,burntbricks,2,no,more_once,4,motorcyle;radio;cow_plough;solar_panel;mobile_phone,3,none
Chirodzo,2016-11-16T00:00:00Z,8,52,burntbricks,3,no,more_once,3,motorcyle;television;sterio;solar_panel;mobile_phone,3,none
Chirodzo,2016-11-16T00:00:00Z,4,12,muddaub,1,no,more_once,1,bicycle;radio;solar_torch;mobile_phone,3,none
Chirodzo,2016-11-16T00:00:00Z,8,25,burntbricks,2,no,more_once,4,cow_cart;bicycle;radio;cow_plough;solar_panel;mobile_phone,2,none
Ruaca,2016-11-18T00:00:00Z,6,14,burntbricks,1,yes,more_once,3,radio;cow_plough;mobile_phone,2,Aug;Sept;Oct;Nov
Chirodzo,2016-11-16T00:00:00Z,4,18,burntbricks,8,NULL,NULL,1,mobile_phone,2,Aug;Sept;Oct
Ruaca,2016-11-23T00:00:00Z,5,25,burntbricks,2,no,never,5,cow_cart;car;lorry;motorcyle;bicycle;television;sterio;cow_plough;solar_panel;solar_torch;electricity;table;sofa_set;mobile_phone;fridge,3,Jan;Oct;Nov
Ruaca,2016-11-24T00:00:00Z,10,16,burntbricks,1,yes,once,3,motorcyle;bicycle;radio;sterio;cow_plough;solar_panel;mobile_phone,3,none
Ruaca,2016-11-24T00:00:00Z,5,41,burntbricks,1,NULL,NULL,1,NULL,2,Oct;Nov
God,2016-11-24T00:00:00Z,4,4,burntbricks,1,NULL,NULL,1,electricity,2,Jan;Sept;Oct;Nov;Dec
Ruaca,2016-11-25T00:00:00Z,5,79,burntbricks,2,yes,frequently,3,radio;cow_plough;solar_panel;mobile_phone,3,none
God,2016-11-25T00:00:00Z,10,13,sunbricks,1,no,more_once,2,motorcyle;television;cow_plough;solar_panel;mobile_phone,3,Nov
Ruaca,2016-11-25T00:00:00Z,7,50,muddaub,1,no,never,3,cow_plough;solar_panel,3,Oct;Nov
God,2016-11-25T00:00:00Z,11,25,sunbricks,2,yes,more_once,3,cow_cart;motorcyle;bicycle;television;radio;cow_plough;solar_panel;mobile_phone,3,none
God,2016-11-25T00:00:00Z,7,21,muddaub,3,no,more_once,2,solar_panel,3,Jan;Feb;Nov;Dec
God,2016-11-28T00:00:00Z,7,24,muddaub,1,no,more_once,2,cow_plough;mobile_phone,3,none
God,2016-11-28T00:00:00Z,5,43,muddaub,2,yes,more_once,4,cow_cart;motorcyle;bicycle;television;radio;cow_plough;solar_panel;solar_torch;mobile_phone,3,none
God,2016-11-28T00:00:00Z,5,48,burntbricks,1,no,never,3,cow_cart;bicycle;radio;cow_plough;solar_torch,2,Sept;Oct;Nov
God,2016-11-28T00:00:00Z,7,49,burntbricks,2,yes,more_once,3,radio;cow_plough;mobile_phone,3,none
God,2016-11-28T00:00:00Z,5,19,burntbricks,2,no,more_once,3,bicycle;television;radio;cow_plough;solar_torch;table;mobile_phone,2,Nov
God,2016-11-28T00:00:00Z,3,49,burntbricks,1,no,never,1,NULL,3,Nov
God,2016-11-21T00:00:00Z,4,6,muddaub,2,NULL,NULL,2,bicycle;radio;solar_torch;mobile_phone,2,Oct;Nov;Dec
God,2016-11-17T00:00:00Z,12,12,burntbricks,4,yes,more_once,3,cow_cart;radio;cow_plough;solar_panel;solar_torch;table;mobile_phone,3,Jan;Feb;Mar;Oct;Nov;Dec
Ruaca,2017-04-26T00:00:00Z,6,24,muddaub,1,yes,more_once,3,bicycle;radio;cow_plough,2,Jan;Aug;Sept;Oct;Nov;Dec
Ruaca,2017-04-26T00:00:00Z,7,9,burntbricks,2,yes,more_once,3,cow_cart;motorcyle;bicycle;television;radio;cow_plough;solar_panel;table;mobile_phone,3,Jan;Sept;Oct
Ruaca,2017-04-26T00:00:00Z,17,48,burntbricks,2,yes,more_once,4,bicycle;radio;cow_plough;solar_panel;mobile_phone,3,none
Ruaca,2017-04-27T00:00:00Z,5,22,burntbricks,1,yes,never,2,radio;cow_plough;solar_torch,2,Aug;Sept;Oct
Ruaca,2017-04-27T00:00:00Z,7,40,sunbricks,1,no,never,2,radio;cow_plough,2,Oct;Nov
God,2017-04-27T00:00:00Z,5,10,burntbricks,2,no,never,3,bicycle;radio;cow_plough;solar_panel;solar_torch;table;mobile_phone,3,Oct;Nov
God,2017-04-27T00:00:00Z,3,4,muddaub,1,no,never,1,bicycle;solar_torch,3,Sept;Oct;Nov
Ruaca,2017-04-27T00:00:00Z,6,96,sunbricks,1,no,never,5,cow_cart;cow_plough;solar_panel;sofa_set;mobile_phone,3,Jan;Feb;Dec
Ruaca,2017-04-28T00:00:00Z,12,15,burntbricks,2,yes,frequently,2,cow_plough;table;sofa_set;mobile_phone,3,Jan;Feb
Ruaca,2017-04-28T00:00:00Z,6,48,burntbricks,1,no,more_once,2,cow_plough,2,Aug;Sept;Oct
Ruaca,2017-04-28T00:00:00Z,5,12,muddaub,1,no,more_once,1,cow_cart;bicycle;radio;cow_plough;solar_panel;solar_torch,3,none
Ruaca,2017-04-28T00:00:00Z,14,52,sunbricks,1,yes,never,4,cow_cart;bicycle;cow_plough,3,Jan;Feb;Dec
Ruaca,2017-04-28T00:00:00Z,6,40,sunbricks,1,yes,frequently,2,motorcyle;radio;cow_plough;solar_panel;mobile_phone,3,Jan;Feb;Dec
God,2017-04-30T00:00:00Z,15,22,sunbricks,5,no,never,2,cow_cart;motorcyle;bicycle;radio;sterio;cow_plough;solar_panel;solar_torch;table;mobile_phone,3,Oct;Nov;Dec
God,2017-05-03T00:00:00Z,4,12,sunbricks,1,NULL,NULL,3,cow_cart;bicycle;radio;cow_plough;table,3,July;Aug;Sept;Oct;Nov
Ruaca,2017-05-03T00:00:00Z,6,22,sunbricks,3,no,never,3,bicycle;radio;cow_plough;table;mobile_phone,2,none
Ruaca,2017-05-03T00:00:00Z,11,26,burntbricks,3,no,never,4,cow_cart;motorcyle;bicycle;radio;cow_plough;solar_panel;solar_torch;table;mobile_phone,3,none
Ruaca,2017-05-04T00:00:00Z,5,25,muddaub,1,NULL,NULL,1,radio;solar_torch;mobile_phone,3,Oct;Nov;Dec
Ruaca,2017-05-04T00:00:00Z,5,14,burntbricks,1,no,more_once,2,bicycle;radio;cow_plough;solar_panel;solar_torch;mobile_phone,3,Jan;Sept;Oct;Nov;Dec
Ruaca,2017-05-04T00:00:00Z,3,14,muddaub,1,no,never,4,bicycle;cow_plough;solar_panel;mobile_phone,3,none
Ruaca,2017-05-11T00:00:00Z,4,16,sunbricks,2,NULL,NULL,3,cow_cart;motorcyle;bicycle;television;radio;cow_plough;solar_panel;solar_torch;table;mobile_phone,3,none
God,2017-05-11T00:00:00Z,15,22,burntbricks,2,no,never,4,cow_cart;bicycle;radio;cow_plough;solar_panel;table;mobile_phone,3,Aug;Sept;Oct;Nov
Ruaca,2017-05-11T00:00:00Z,5,25,burntbricks,3,NULL,NULL,3,motorcyle;bicycle;television;radio;cow_plough;solar_panel;solar_torch;table;mobile_phone,3,Jan;Nov;Dec
Ruaca,2017-05-11T00:00:00Z,10,28,muddaub,4,NULL,NULL,1,motorcyle;television;radio;solar_panel;solar_torch;table;mobile_phone,3,Jan;Feb;Nov;Dec
Ruaca,2017-05-18T00:00:00Z,7,5,burntbricks,4,no,frequently,4,cow_cart;television;radio;cow_plough;solar_panel;solar_torch;table;mobile_phone,2,none
Ruaca,2017-05-18T00:00:00Z,10,24,burntbricks,2,no,frequently,3,cow_cart;motorcyle;television;radio;cow_plough;solar_torch;table;mobile_phone,3,Jan;Dec
Ruaca,2017-05-18T00:00:00Z,7,8,muddaub,1,no,never,1,mobile_phone,3,Sept;Oct;Nov
God,2017-05-18T00:00:00Z,4,24,sunbricks,1,no,never,1,radio;solar_panel;solar_torch,3,Sept;Oct;Nov
God,2017-06-03T00:00:00Z,7,13,burntbricks,2,yes,frequently,2,cow_cart;cow_plough;solar_torch;mobile_phone,2,Nov
Ruaca,2017-06-03T00:00:00Z,9,14,burntbricks,1,no,never,3,cow_cart;motorcyle;bicycle;television;radio;cow_plough;solar_torch;electricity;table;sofa_set;mobile_phone;fridge,3,none
Ruaca,2017-06-03T00:00:00Z,11,16,muddaub,1,no,never,1,bicycle;solar_torch;mobile_phone,2,Feb;Mar
Ruaca,2017-06-03T00:00:00Z,8,24,muddaub,1,no,never,3,motorcyle;radio;cow_plough;solar_panel;solar_torch;table;mobile_phone,2,Jan;Nov;Dec
Ruaca,2017-06-03T00:00:00Z,12,25,burntbricks,2,no,never,3,car;lorry;motorcyle;radio;sterio;cow_plough;solar_panel;solar_torch;table;sofa_set;mobile_phone;fridge,3,Jan;Feb;Dec
Ruaca,2017-06-03T00:00:00Z,7,36,burntbricks,1,no,never,4,motorcyle;bicycle;radio;sterio;cow_plough;solar_panel;table;mobile_phone,2,Jan;Oct;Nov;Dec
Ruaca,2017-06-03T00:00:00Z,15,16,sunbricks,1,no,never,3,motorcyle;radio;sterio;cow_plough;solar_panel;table;mobile_phone,3,Nov
Ruaca,2017-06-03T00:00:00Z,10,5,burntbricks,4,no,never,1,radio;cow_plough;solar_panel;solar_torch;mobile_phone,2,Oct;Nov;Dec
Chirodzo,2017-06-03T00:00:00Z,9,20,burntbricks,1,no,once,1,bicycle;television;radio;sterio;solar_panel;solar_torch;table;mobile_phone,3,Jan;Nov;Dec
Ruaca,2017-05-18T00:00:00Z,3,7,burntbricks,1,no,more_once,3,motorcyle;radio;solar_panel,3,Oct;Nov;Dec
Ruaca,2017-06-04T00:00:00Z,7,10,cement,3,no,more_once,3,car;lorry;television;radio;sterio;cow_plough;solar_torch;electricity;table;sofa_set;mobile_phone;fridge,3,none
Ruaca,2017-06-04T00:00:00Z,4,5,muddaub,1,no,more_once,1,radio;solar_panel;solar_torch;mobile_phone,3,Sept;Oct;Nov
Chirodzo,2017-06-04T00:00:00Z,7,17,burntbricks,2,yes,more_once,2,cow_cart;lorry;motorcyle;computer;television;radio;sterio;cow_plough;solar_panel;solar_torch;electricity;mobile_phone,3,Nov;Dec
Chirodzo,2017-06-04T00:00:00Z,8,20,burntbricks,2,NULL,NULL,3,radio;cow_plough;solar_panel;solar_torch;table;mobile_phone,3,Oct;Nov
